display_name,Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning,access_mode,lifecycle,is_open_weight,weights,price_status,price_kind,currency,context_tier,official_price,text_official_input_per_1m_usd,text_official_output_per_1m_usd,text_official_provider,text_official_source_url,text_cheapest_input_per_1m_usd,text_cheapest_input_seller,text_cheapest_input_seller_url,text_cheapest_input_provider,text_cheapest_input_source_url,text_cheapest_output_per_1m_usd,text_cheapest_output_seller,text_cheapest_output_seller_url,text_cheapest_output_provider,text_cheapest_output_source_url,text_quote_count,fetched_at
GPT-5.3 Codex,gpt-5.3-codex,OpenAI,Coding,,,Online: Codex / API,Yes,online,stable,0,proprietary,got,official,USD,400000,got,1.75,14,OpenAI 官方文档,https://developers.openai.com/api/docs/pricing.md,1.575,requesty,https://requesty.ai/solution/llm-routing/models,models.dev,https://models.dev/api.json,12.6,requesty,https://requesty.ai/solution/llm-routing/models,models.dev,https://models.dev/api.json,37,2026-08-25
Codegemma 2B,google/codegemma-2b,Google,Coding,2,2,Offline: Open Weight,No,offline,stable,1,free,got,hosted,USD,8192,weight open source,,,,,0.1,fireworks_ai,https://fireworks.ai/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.1,fireworks_ai,https://fireworks.ai/models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,1,2026-08-25
Codegemma 7B IT,google/codegemma-7b-it,Google,Coding,7,7,Offline: Open Weight,No,offline,stable,1,free,got,hosted,USD,8192,weight open source,,,,,0.07,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,0.07,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,1,2026-08-25
Grok Build 0.1,grok-build-0.1,xAI,Coding,,,Online: API,Yes,online,stable,0,proprietary,got,official,USD,< 200k prompt tokens,got,1,2,xAI 官方文档,https://docs.x.ai/developers/models.md,0.9,requesty,https://requesty.ai,Requesty,https://router.requesty.ai/v1/models/managed,1.8,requesty,https://requesty.ai,Requesty,https://router.requesty.ai/v1/models/managed,22,2026-08-25
Grok Build 0.1,grok-build-0.1,xAI,Coding,,,Online: API,Yes,online,stable,0,proprietary,got,official,USD,≥ 200k prompt tokens,got,2,4,xAI 官方文档,https://docs.x.ai/developers/models.md,0.9,requesty,https://requesty.ai,Requesty,https://router.requesty.ai/v1/models/managed,1.8,requesty,https://requesty.ai,Requesty,https://router.requesty.ai/v1/models/managed,22,2026-08-25
Codestral (v25.08),Codestral (v25.08),Mistral AI,Coding,,,Online: API,No,online,stable,0,proprietary,got,official,USD,32000,got,1,3,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.2,vertex_ai-mistral_models,https://console.cloud.google.com/vertex-ai/model-garden,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.6,vertex_ai-mistral_models,https://console.cloud.google.com/vertex-ai/model-garden,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,15,2026-08-25
Leanstral 1.5,Leanstral 1.5,Mistral AI,Coding,,,Both: API / Open Weight,Yes,both,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Qwen2.5 Coder 0 5B Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct,Alibaba / Qwen,Coding,0.5,0.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Qwen2.5 Coder 1 5B Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,Alibaba / Qwen,Coding,1.5,1.5,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Qwen2.5 Coder 14B Instruct,Qwen/Qwen2.5-Coder-14B-Instruct,Alibaba / Qwen,Coding,14,14,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,weights_free,,,,weight open source,,,,,,,,,,,,,,,,
Qwen2.5 Coder 32B Instruct,Qwen/Qwen2.5-Coder-32B-Instruct,Alibaba / Qwen,Coding,32,32,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32768,weight open source,,,,,0.06,huggingface,https://huggingface.co/docs/inference-providers,models.dev,https://models.dev/api.json,0.15,deepinfra,https://deepinfra.com/models,DeepInfra,https://api.deepinfra.com/models/list,16,2026-08-25
Qwen2.5 Coder 3B Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,Alibaba / Qwen,Coding,3,3,Offline: Official Hugging Face / Open Weight,No,offline,stable,1,free,got,hosted,USD,32768,weight open source,,,,,0.01,nscale,https://docs.nscale.com/docs/inference/serverless-models/current#chat-models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,0.03,nscale,https://docs.nscale.com/docs/inference/serverless-models/current#chat-models,LiteLLM,https://cdn.jsdelivr.net/gh/BerriAI/litellm@main/model_prices_and_context_window.json,2,2026-08-25
